S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
29,2023-07-13,131,NABIL,Nabil Bank Limited,574.3000,597.9000,574.3000,590.0000,66352,39318126.2000,586.0000,930.0000,574.3000,2023-07-13T14:59:58.680915,590.0000,733,592.56,159636.29
30,2023-07-13,132,NIMB,Nepal Investment Mega Bank Limited,170.4000,178.0000,170.4000,174.9000,155129,27053841.9000,173.8000,278.4000,170.1000,2023-07-13T14:59:55.750668,174.9000,473,174.39,59690.91
31,2023-07-13,139,NICA,NIC Asia Bank Ltd.,790.0000,790.0000,779.2000,781.9000,40669,31822025.3000,780.0000,861.9000,600.3000,2023-07-13T14:59:47.272367,781.9000,299,782.46,90418.96
32,2023-07-13,140,MBL,Machhapuchhre Bank Limited,230.0000,233.6000,228.2000,228.2000,32599,7498931.6000,229.1000,268.0000,199.0000,2023-07-13T14:59:56.079109,228.2000,117,230.03,23406.83
33,2023-07-13,142,KBL,Kumari Bank Limited,163.0000,164.2000,159.8000,160.0000,115663,18644435.5000,162.7000,219.8000,155.0000,2023-07-13T14:59:47.372324,160.0000,386,161.19,41961.38
34,2023-07-13,145,SBL,Siddhartha Bank Limited,248.0000,249.0000,243.5000,244.1000,29048,7140716.5000,245.0000,348.0000,238.0000,2023-07-13T14:59:56.628008,244.1000,164,245.82,34393.64
35,2023-07-13,148,TRH,Taragaon Regency Hotel Limited,811.0000,811.0000,775.0000,780.0000,32353,25620812.8000,795.1000,890.5000,310.0000,2023-07-13T14:59:55.488969,780.0000,210,791.91,14715.90
36,2023-07-13,149,OHL,Oriental Hotels Limited,799.0000,805.0000,788.9000,789.0000,31715,25255291.5000,797.9000,842.0000,413.8000,2023-07-13T14:59:53.126861,789.0000,159,796.32,8900.63
37,2023-07-13,155,STC,Salt Trading Corporation,4903.0000,5001.0000,4903.0000,4912.0000,950,4719269.0000,4995.0000,5250.0000,3350.0000,2023-07-13T14:59:56.071098,4912.0000,41,4967.65,13698.80
38,2023-07-13,176,NICL,Nepal Insurance Co. Ltd.,862.0000,864.0000,831.0000,836.0000,18079,15224064.3000,848.0000,907.0000,385.1000,2023-07-13T14:59:52.378287,836.0000,199,842.08,12496.24
39,2023-07-13,179,HEI,Himalayan Everest Insurance Limited,615.0000,624.0000,602.0000,605.0000,35946,22088021.9000,617.0000,635.0000,345.0000,2023-07-13T14:59:26.037320,605.0000,195,614.47,13924.29
40,2023-07-13,182,SPIL,Siddhartha Premier Insurance Limited,775.0000,795.0000,775.0000,777.0000,67669,52823156.7000,775.0000,817.0000,500.1000,2023-07-13T14:59:58.106463,777.0000,260,780.61,21806.89
41,2023-07-13,183,NIL,Neco Insurance Limited,924.0000,925.0000,890.0000,892.0000,10325,9318234.5000,907.8000,946.0000,660.0000,2023-07-13T14:59:50.969600,892.0000,146,902.49,17950.26
42,2023-07-13,184,PRIN,Prabhu Insurance Ltd.,772.0000,772.0000,740.0000,740.0000,22531,17040131.4000,761.0000,772.0000,378.0000,2023-07-13T14:59:51.600256,740.0000,144,756.29,10183.31
43,2023-07-13,186,IGI,IGI Prudential insurance Limited,580.0000,581.0000,556.0000,558.0000,113923,64420991.5000,570.0000,615.0000,335.0000,2023-07-13T14:59:59.293744,558.0000,485,565.47,16903.69
44,2023-07-13,194,NFS,Nepal Finance Ltd.,360.0000,366.8000,350.0000,353.0000,62073,22168420.1000,360.0000,390.0000,238.0000,2023-07-13T14:59:59.592827,353.0000,419,357.13,2961.47
45,2023-07-13,204,GUFL,Gurkhas Finance Ltd.,583.4000,590.0000,554.7000,564.9000,31405,17927653.3000,572.0000,715.0000,454.0000,2023-07-13T14:59:59.596035,564.9000,281,570.85,4903.30
